TweetID,NoRetweets
666014,325
666015,325
666016,325
666017,325
666018,325
666019,325
666020,325
666021,325
666022,325
666023,428
666024,325
666025,325
666026,325
666027,325
666028,325
666029,325
666030,325
666031,390
666032,325
666033,325
666034,325
666035,428
666036,325
666037,325
666038,325
666039,325
666040,325
666041,325
666042,428
666043,325
666044,325
666045,325
666046,325
666047,325
666048,325
666049,428
666050,428
666051,325
666052,325
666053,325
666054,390
666055,325
666056,325
666057,325
666058,325
666059,316
666060,325
666061,325
666062,316
666063,325
666064,325
666065,325
666066,325
666067,325
666068,325
666069,325
666070,428
666071,325
666072,325
666073,325
666074,325
666075,325
666076,428
666077,325
666078,325
666079,325
666080,325
666081,325
666082,325
666083,428
666084,325
666085,325
666086,428
666087,325
666088,325
666089,428
666090,325
666091,325
666092,325
666093,325
666094,428
666095,325
666096,325
666097,325
666098,325
666099,325
666100,325
666101,325
666102,325
666103,325
666104,325
666105,325
666106,325
666107,325
666108,325
666109,325
666110,325
666111,325
666112,325
666113,325
666114,325
666115,325
666116,553
666117,325
666118,325
666119,316
666120,325
666121,325
666122,325
666123,428
666124,428
666125,325
666126,325
666127,325
666128,325
666129,316
666130,428
666131,325
666132,325
666133,325
666134,325
666135,325
666136,325
666137,325
666138,325
666139,325
666140,325
666141,325
666142,325
666143,325
666144,325
666145,325
666146,428
666147,325
666148,325
666149,325
666150,325
666151,428
666152,325
666153,428
666154,428
666155,325
666156,325
666157,325
666158,325
666159,325
666160,325
666161,325
666162,325
666163,325
666164,325
666165,428
666166,325
666167,325
666168,325
666169,553
666170,325
666171,325
666172,325
666173,428
666174,325
666175,325
666176,325
666177,325
666178,316
666179,325
666180,316
666181,325
666182,325
666183,325
666184,325
666185,325
666186,428
666187,325
666188,325
666189,325
666190,316
666191,325
666192,325
666193,325
666194,325
666195,325
666196,325
666197,325
666198,325
666199,325
666200,325
666201,325
666202,325
666203,325
666204,325
666205,325
666206,325
666207,325
666208,325
666209,325
666210,428
666211,325
666212,325
666213,325
666214,325
666215,325
666216,428
666217,325
666218,325
666219,325
666220,325
666221,325
666222,428
666223,325
666224,325
666225,325
666226,325
666227,325
666228,428
666229,325
666230,325
666231,325
666232,325
666233,325
666234,428
666235,316
666236,325
666237,325
666238,325
666239,325
666240,325
666241,325
666242,325
666243,428
666244,325
666245,325
666246,325
666247,325
666248,325
666249,325
666250,325
666251,325
666252,325
666253,325
666254,325
666255,325
666256,325
666257,325
666258,325
666259,325
666260,325
666261,325
666262,325
666263,325
666264,325
666265,325
666266,325
666267,325
666268,325
666269,325
666270,325
666271,316
666272,325
666273,325
666274,325
666275,325
666276,325
666277,325
666278,325
666279,325
666280,325
666281,325
666282,325
666283,428
666284,325
666285,325
666286,325
666287,325
666288,325
666289,325
666290,325
666291,325
666292,325
666293,325
666294,325
666295,325
666296,325
666297,325
666298,325
666299,325
666300,428
666301,325
666302,325
666303,325
666304,428
666305,325
666306,325
666307,428
666308,325
666309,325
666310,316
666311,428
666312,325
666313,325
666314,325
666315,325
666316,325
666317,325
666318,325
666319,428
666320,325
666321,325
666322,325
666323,325
666324,325
666325,428
666326,325
666327,325
666328,325
666329,325
666330,325
666331,325
666332,325
666333,325
666334,325
666335,325
666336,325
666337,325
666338,325
666339,325
666340,428
666341,325
666342,325
666343,325
666344,325
666345,325
666346,325
666347,325
666348,325
666349,428
666350,428
666351,325
666352,325
666353,325
666354,325
666355,325
666356,325
666357,325
666358,325
666359,325
666360,325
666361,428
666362,325
666363,325
666364,428
666365,325
666366,428
666367,325
666368,325
666369,325
666370,325
666371,325
666372,325
666373,325
666374,325
666375,428
666376,325
666377,325
666378,325
666379,325
666380,325
666381,428
666382,325
666383,325
666384,325
666385,325
666386,428
666387,325
666388,325
666389,325
666390,325
666391,325
666392,325
666393,325
666394,325
666395,316
666396,325
666397,325
666398,428
666399,428
666400,325
666401,325
666402,325
666403,325
666404,325
666405,325
666406,325
666407,325
666408,325
666409,325
666410,428
666411,325
666412,325
666413,325
666414,316
666415,325
666416,428
666417,325
666418,325
666419,325
666420,325
666421,325
666422,325
666423,325
666424,428
666425,325
666426,325
666427,325
666428,325
666429,325
666430,325
666431,428
666432,325
666433,325
666434,325
666435,325
666436,325
666437,325
666438,325
666439,325
666440,325
666441,325
666442,325
666443,325
666444,325
666445,428
666446,325
666447,325
666448,325
666449,325
666450,325
666451,325
666452,428
666453,325
666454,428
666455,325
666456,428
666457,325
666458,325
666459,428
666460,325
666461,325
666462,325
666463,325
666464,325
666465,316
666466,325
666467,325
666468,325
666469,325
666470,428
666471,325
666472,325
666473,325
666474,325
666475,325
666476,325
666477,325
666478,325
666479,428
666480,325
666481,325
666482,325
666483,428
666484,325
666485,325
666486,325
666487,325
666488,325
666489,325
666490,325
666491,325
666492,325
666493,325
666494,325
666495,325
666496,316
666497,325
666498,316
666499,316
666500,325
666501,325
666502,325
666503,325
666504,325
666505,325
666506,325
666507,325
666508,325
666509,325
666510,325
666511,325
666512,316
666513,325
666514,316
666515,325
666516,325
666517,325
666518,325
666519,325
666520,428
666521,428
666522,325
666523,325
666524,325
666525,325
666526,325
666527,325
666528,325
666529,325
666530,325
666531,325
666532,325
666533,325
666534,325
666535,325
666536,325
666537,428
666538,316
666539,325
666540,325
666541,428
666542,325
666543,325
666544,325
666545,316
666546,325
666547,325
666548,325
666549,325
666550,325
666551,428
666552,325
666553,325
666554,325
666555,325
666556,325
666557,316
666558,428
666559,325
666560,325
666561,325
666562,325
666563,325
666564,325
666565,325
666566,325
666567,325
666568,325
666569,325
666570,325
666571,325
666572,325
666573,325
666574,325
666575,325
666576,325
666577,325
666578,325
666579,428
666580,325
666581,428
666582,325
666583,325
666584,325
666585,325
666586,325
666587,325
666588,316
666589,325
666590,325
666591,325
666592,553
666593,325
666594,325
666595,428
666596,325
666597,325
666598,325
666599,325
666600,325
666601,325
666602,325
666603,325
666604,428
666605,325
666606,325
666607,325
666608,325
666609,428
666610,325
666611,325
666612,325
666613,325
666614,325
666615,428
666616,325
666617,325
666618,325
666619,325
666620,325
666621,325
666622,325
666623,325
666624,325
666625,325
666626,325
666627,325
666628,325
666629,325
666630,325
666631,325
666632,325
666633,325
666634,325
666635,325
666636,428
666637,325
666638,325
666639,325
666640,325
666641,316
666642,325
666643,325
666644,325
666645,325
666646,325
666647,316
666648,325
666649,325
666650,325
666651,316
666652,325
666653,325
666654,325
666655,325
666656,325
666657,325
666658,325
666659,325
666660,325
666661,325
666662,325
666663,325
666664,325
666665,325
666666,325
666667,325
666668,325
666669,428
666670,325
666671,428
666672,325
666673,428
666674,428
666675,325
666676,428
666677,325
666678,325
666679,428
666680,325
666681,325
666682,325
666683,325
666684,325
666685,325
666686,325
666687,325
666688,325
666689,325
666690,325
666691,325
666692,325
666693,325
666694,325
666695,325
666696,325
666697,325
666698,325
666699,316
666700,428
666701,325
666702,325
666703,325
666704,325
666705,428
666706,325
666707,325
666708,428
666709,428
666710,325
666711,325
666712,325
666713,325
666714,325
666715,325
666716,325
666717,325
666718,325
666719,325
666720,325
666721,325
666722,325
666723,325
666724,325
666725,325
666726,325
666727,428
666728,325
666729,325
666730,428
666731,325
666732,325
666733,325
666734,325
666735,325
666736,325
666737,325
666738,325
666739,325
666740,325
666741,325
666742,325
666743,325
666744,316
666745,325
666746,325
666747,325
666748,325
666749,428
666750,325
666751,325
666752,325
666753,325
666754,325
666755,325
666756,325
666757,325
666758,325
666759,325
666760,325
666761,325
666762,325
666763,325
666764,325
666765,325
666766,325
666767,325
666768,325
666769,325
666770,325
666771,325
666772,325
666773,325
666774,325
666775,325
666776,325
666777,325
666778,325
666779,325
666780,325
666781,325
666782,316
666783,325
666784,316
666785,316
666786,325
666787,325
666788,325
666789,325
666790,325
666791,428
666792,325
666793,325
666794,325
666795,325
666796,325
666797,428
666798,325
666799,325
666800,325
666801,325
666802,325
666803,325
666804,325
666805,325
666806,325
666807,325
666808,325
666809,325
666810,316
666811,316
666812,325
666813,325
666814,325
666815,325
666816,325
666817,325
666818,428
666819,325
666820,325
666821,325
666822,428
666823,325
666824,325
666825,325
666826,325
666827,325
666828,325
666829,428
666830,325
666831,325
666832,325
666833,325
666834,325
666835,325
666836,325
666837,325
666838,325
666839,325
666840,325
666841,428
666842,316
666843,325
666844,325
666845,428
666846,325
666847,325
666848,325
666849,325
666850,325
666851,325
666852,325
666853,325
666854,325
666855,325
666856,325
666857,325
666858,325
666859,428
666860,325
666861,325
666862,325
666863,325
666864,325
666865,325
666866,428
666867,325
666868,325
666869,325
666870,325
666871,325
666872,325
666873,325
666874,428
666875,316
666876,325
666877,325
666878,325
666879,325
666880,325
666881,325
666882,325
666883,325
666884,325
666885,325
666886,325
666887,325
666888,428
666889,325
666890,325
666891,325
666892,325
666893,325
666894,325
666895,325
666896,325
666897,428
666898,325
666899,325
666900,325
666901,325
666902,325
666903,325
666904,325
666905,325
666906,325
666907,325
666908,428
666909,325
666910,325
666911,325
666912,325
666913,325
666914,325
666915,325
666916,325
666917,325
666918,428
666919,325
666920,316
666921,325
666922,325
666923,428
666924,428
666925,325
666926,325
666927,325
666928,325
666929,316
666930,325
666931,316
666932,428
666933,428
666934,325
666935,325
666936,325
666937,325
666938,325
666939,428
666940,428
666941,428
666942,325
666943,325
666944,325
666945,325
666946,325
666947,325
666948,428
666949,428
666950,316
666951,325
666952,325
666953,325
666954,325
666955,325
666956,325
666957,325
666958,428
666959,428
666960,325
666961,325
666962,325
666963,325
666964,325
666965,325
666966,325
666967,325
666968,325
666969,325
666970,325
666971,325
666972,325
666973,428
666974,325
666975,316
666976,325
666977,325
666978,325
666979,325
666980,325
666981,316
666982,325
666983,325
666984,325
666985,325
666986,325
666987,428
666988,325
666989,325
666990,325
666991,325
666992,325
666993,325
666994,325
666995,428
666996,325
666997,325
666998,325
666999,325
667000,325
667001,325
667002,428
667003,325
667004,325
667005,428
667006,316
667007,325
667008,325
667009,428
667010,325
667011,325
667012,325
667013,325
667014,325
667015,325
667016,325
667017,325
667018,325
667019,325
667020,428
667021,428
667022,325
667023,325
667024,325
667025,325
667026,325
667027,325
667028,428
667029,325
667030,325
667031,325
667032,325
667033,325
667034,325
667035,325
667036,325
667037,325
667038,325
667039,325
667040,325
667041,325
667042,325
667043,325
667044,325
667045,325
667046,428
667047,325
667048,325
667049,325
667050,325
667051,325
667052,325
667053,325
667054,325
667055,428
667056,325
667057,428
667058,428
667059,325
667060,325
667061,428
667062,325
667063,325
667064,325
667065,325
667066,325
667067,428
667068,325
667069,428
667070,325
667071,325
667072,325
667073,316
667074,325
667075,325
667076,325
667077,316
667078,325
667079,428
667080,325
667081,316
667082,325
667083,325
667084,428
667085,325
667086,428
667087,325
667088,325
667089,325
667090,325
667091,325
667092,325
667093,325
667094,325
667095,325
667096,325
667097,325
667098,325
667099,325
667100,325
667101,428
667102,325
667103,325
667104,325
667105,325
667106,325
667107,325
667108,428
667109,325
667110,325
667111,325
667112,428
667113,325
667114,325
667115,325
667116,325
667117,325
667118,428
667119,325
667120,428
667121,325
667122,428
667123,1347
667124,325
667125,325
667126,325
667127,428
667128,428
667129,325
667130,325
667131,316
667132,325
667133,325
667134,325
667135,325
667136,325
667137,325
667138,325
667139,325
667140,325
667141,325
667142,316
667143,428
667144,325
667145,428
667146,428
667147,325
667148,325
667149,325
667150,316
667151,325
667152,325
667153,325
667154,325
667155,325
667156,316
667157,325
667158,325
667159,325
667160,325
667161,325
667162,325
667163,325
667164,325
667165,325
667166,325
667167,325
667168,428
667169,428
667170,325
667171,325
667172,325
667173,325
667174,325
667175,325
667176,428
667177,325
667178,325
667179,325
667180,325
667181,325
667182,428
667183,325
667184,325
667185,325
667186,325
667187,325
667188,325
667189,325
667190,325
667191,428
667192,325
667193,325
667194,325
667195,316
667196,325
667197,325
667198,428
667199,325
667200,325
667201,325
667202,325
667203,325
667204,316
667205,428
667206,325
667207,325
667208,325
667209,325
667210,325
667211,325
667212,325
667213,325
667214,325
667215,325
667216,325
667217,325
667218,325
667219,325
667220,428
667221,325
667222,325
667223,325
667224,325
667225,325
667226,428
667227,428
667228,325
667229,325
667230,325
667231,325
667232,316
667233,325
667234,428
667235,325
667236,325
667237,325
667238,325
667239,325
667240,428
667241,325
667242,325
667243,325
667244,325
667245,325
667246,325
667247,325
667248,325
667249,325
667250,325
667251,325
667252,325
667253,325
667254,428
667255,325
667256,325
667257,325
667258,428
667259,316
667260,428
667261,325
667262,325
667263,325
667264,325
667265,325
667266,325
667267,325
667268,325
667269,382
667270,325
667271,316
667272,428
667273,325
667274,325
667275,325
667276,325
667277,428
667278,325
667279,428
667280,325
667281,325
667282,316
667283,325
667284,325
667285,325
667286,325
667287,325
667288,325
667289,325
667290,428
667291,325
667292,325
667293,325
667294,316
667295,325
667296,325
667297,325
667298,325
667299,325
667300,325
667301,325
667302,325
667303,325
667304,428
667305,325
667306,325
667307,325
667308,428
667309,325
667310,325
667311,325
667312,325
667313,325
667314,325
667315,325
667316,325
667317,325
667318,325
667319,553
667320,428
667321,325
667322,325
667323,325
667324,325
667325,428
667326,325
667327,325
667328,316
667329,325
667330,325
667331,428
667332,325
667333,325
667334,325
667335,325
667336,428
667337,325
667338,428
667339,325
667340,325
667341,325
667342,428
667343,325
667344,325
667345,428
667346,428
667347,428
667348,428
667349,325
667350,325
667351,428
667352,316
667353,325
667354,325
667355,325
667356,325
667357,325
667358,325
667359,316
667360,325
667361,325
667362,316
667363,428
667364,316
667365,325
667366,325
667367,325
667368,325
667369,325
667370,325
667371,325
667372,325
667373,325
667374,325
667375,325
667376,325
667377,325
667378,428
667379,325
667380,428
667381,428
667382,325
667383,325
667384,325
667385,325
667386,325
667387,325
667388,325
667389,325
667390,325
667391,325
667392,428
667393,325
667394,325
667395,325
667396,325
667397,325
667398,325
667399,325
667400,325
667401,325
667402,325
667403,325
667404,325
667405,325
667406,325
667407,325
667408,325
667409,325
667410,325
667411,325
667412,325
667413,325
667414,325
667415,325
667416,325
667417,325
667418,428
667419,325
667420,325
667421,325
667422,325
667423,316
667424,325
667425,325
667426,325
667427,325
667428,325
667429,325
667430,325
667431,325
667432,325
667433,325
667434,428
667435,325
667436,428
667437,428
667438,325
667439,325
667440,325
667441,428
667442,325
667443,325
667444,316
667445,325
667446,325
667447,325
667448,325
667449,325
667450,325
667451,325
667452,325
667453,325
667454,325
667455,325
667456,325
667457,428
667458,325
667459,325
667460,325
667461,325
667462,316
667463,325
667464,325
667465,325
667466,325
667467,325
667468,325
667469,325
667470,325
667471,325
667472,325
667473,325
667474,325
667475,325
667476,325
667477,325
667478,325
667479,428
667480,325
667481,325
667482,325
667483,325
667484,325
667485,325
667486,325
667487,325
667488,325
667489,325
667490,325
667491,325
667492,325
667493,325
667494,325
667495,325
667496,316
667497,316
667498,325
667499,325
667500,316
667501,325
667502,428
667503,325
667504,552
667505,325
667506,325
667507,325
667508,325
667509,325
667510,325
667511,325
667512,428
667513,390
667514,325
667515,428
667516,316
667517,325
667518,325
667519,325
667520,316
667521,428
667522,316
667523,325
667524,325
667525,325
667526,325
667527,325
667528,325
667529,325
667530,325
667531,325
667532,325
667533,428
667534,325
667535,325
667536,325
667537,325
667538,325
667539,316
667540,325
667541,325
667542,325
667543,325
667544,325
667545,325
667546,325
667547,325
667548,325
667549,325
667550,325
667551,325
667552,325
667553,325
667554,316
667555,428
667556,325
667557,428
667558,325
667559,325
667560,325
667561,325
667562,325
667563,325
667564,325
667565,428
667566,325
667567,325
667568,325
667569,325
667570,325
667571,325
667572,325
667573,325
667574,325
667575,325
667576,325
667577,325
667578,325
667579,325
667580,325
667581,325
667582,325
667583,325
667584,1347
667585,325
667586,325
667587,316
667588,325
667589,325
667590,428
667591,325
667592,325
667593,325
667594,325
667595,325
667596,325
667597,325
667598,325
667599,325
667600,325
667601,428
667602,325
667603,428
667604,325
667605,325
667606,325
667607,325
667608,325
667609,325
667610,428
667611,428
667612,325
667613,325
667614,325
667615,325
667616,325
667617,325
667618,325
667619,325
667620,325
667621,428
667622,325
667623,325
667624,325
667625,325
667626,325
667627,325
667628,325
667629,325
667630,316
667631,325
667632,325
667633,325
667634,428
667635,325
667636,325
667637,316
667638,325
667639,325
667640,325
667641,325
667642,325
667643,325
667644,325
667645,325
667646,325
667647,325
667648,325
667649,325
667650,325
667651,325
667652,325
667653,325
667654,325
667655,325
667656,325
667657,325
667658,325
667659,316
667660,325
667661,325
667662,325
667663,325
667664,325
667665,325
667666,325
667667,325
667668,325
667669,325
667670,325
667671,428
667672,325
667673,428
667674,325
667675,325
667676,428
667677,325
667678,325
667679,325
667680,325
667681,325
667682,325
667683,325
667684,316
667685,325
667686,325
667687,325
667688,325
667689,325
667690,428
667691,325
667692,325
667693,316
667694,325
667695,325
667696,325
667697,325
667698,325
667699,325
667700,325
667701,325
667702,325
667703,325
667704,325
667705,325
667706,325
667707,325
667708,325
667709,325
667710,316
667711,325
667712,325
667713,325
667714,325
667715,325
667716,325
667717,325
667718,325
667719,325
667720,325
667721,325
667722,325
667723,316
667724,325
667725,325
667726,325
667727,325
667728,325
667729,325
667730,325
667731,325
667732,325
667733,325
667734,325
667735,325
667736,325
667737,325
667738,325
667739,428
667740,325
667741,325
667742,325
667743,325
667744,316
667745,325
667746,325
667747,325
667748,325
667749,428
667750,325
667751,325
667752,325
667753,325
667754,325
667755,325
667756,325
667757,428
667758,325
667759,325
667760,316
667761,325
667762,325
667763,325
667764,325
667765,325
667766,316
667767,428
667768,325
667769,325
667770,325
667771,325
667772,325
667773,325
667774,325
667775,316
667776,325
667777,325
667778,325
667779,325
667780,325
667781,428
667782,325
667783,325
667784,325
667785,325
667786,316
667787,325
667788,428
667789,325
667790,428
667791,325
667792,325
667793,325
667794,325
667795,316
667796,428
667797,428
667798,316
667799,428
667800,325
667801,325
667802,325
667803,316
667804,325
667805,325
667806,325
667807,325
667808,325
667809,325
667810,325
667811,325
667812,325
667813,325
667814,325
667815,325
667816,325
667817,325
667818,325
667819,325
667820,325
667821,325
667822,325
667823,325
667824,325
667825,325
667826,325
667827,325
667828,325
667829,325
667830,316
667831,325
667832,325
667833,325
667834,428
667835,325
667836,325
667837,325
667838,325
667839,325
667840,325
667841,325
667842,428
667843,325
667844,325
667845,428
667846,316
667847,428
667848,325
667849,325
667850,428
667851,316
667852,325
667853,325
667854,325
667855,325
667856,325
667857,552
667858,325
667859,316
667860,325
667861,428
667862,325
667863,325
667864,325
667865,325
667866,325
667867,428
667868,325
667869,325
667870,552
667871,325
667872,325
667873,325
667874,325
667875,325
667876,325
667877,325
667878,325
667879,428
667880,325
667881,428
667882,428
667883,325
667884,325
667885,325
667886,325
667887,428
667888,325
667889,325
667890,325
667891,325
667892,325
667893,325
667894,428
667895,325
667896,428
667897,325
667898,325
667899,325
667900,325
667901,325
667902,325
667903,325
667904,316
667905,325
667906,316
667907,325
667908,325
667909,325
667910,325
667911,325
667912,325
667913,325
667914,325
667915,325
667916,325
667917,325
667918,325
667919,325
667920,325
667921,325
667922,325
667923,325
667924,325
667925,325
667926,428
667927,325
667928,325
667929,428
667930,382
667931,316
667932,325
667933,325
667934,325
667935,325
667936,325
667937,325
667938,325
667939,325
667940,325
667941,325
667942,325
667943,316
667944,325
667945,428
667946,325
667947,428
667948,325
667949,325
667950,325
667951,325
667952,325
667953,325
667954,325
667955,428
667956,325
667957,325
667958,325
667959,325
667960,325
667961,325
667962,325
667963,325
667964,325
667965,428
667966,316
667967,325
667968,325
667969,325
667970,325
667971,325
667972,325
667973,325
667974,325
667975,316
667976,428
667977,325
667978,325
667979,325
667980,325
667981,316
667982,325
667983,325
667984,428
667985,325
667986,428
667987,325
667988,325
667989,316
667990,325
667991,325
667992,428
667993,316
667994,325
667995,325
667996,316
667997,316
667998,325
667999,325
668000,325
668001,325
668002,325
668003,325
668004,325
668005,428
668006,428
668007,325
668008,325
668009,325
668010,325
668011,325
668012,325
668013,325
668014,428
668015,325
668016,325
668017,316
668018,325
668019,325
668020,325
668021,325
668022,325
668023,325
668024,325
668025,325
668026,325
668027,428
668028,325
668029,325
668030,325
668031,428
668032,390
668033,325
668034,325
668035,325
668036,316
668037,325
668038,325
668039,325
668040,325
668041,325
668042,325
668043,325
668044,325
668045,428
668046,325
668047,325
668048,325
668049,325
668050,325
668051,325
668052,325
668053,325
668054,325
668055,325
668056,325
668057,428
668058,325
668059,325
668060,325
668061,325
668062,325
668063,428
668064,325
668065,325
668066,325
668067,325
668068,325
668069,325
668070,325
668071,325
668072,325
668073,325
668074,325
668075,325
668076,325
668077,325
668078,325
668079,325
668080,325
668081,428
668082,325
668083,428
668084,325
668085,428
668086,325
668087,325
668088,325
668089,316
668090,428
668091,325
668092,325
668093,325
668094,325
668095,325
668096,325
668097,325
668098,325
668099,553
668100,325
668101,325
668102,428
668103,325
668104,325
668105,325
668106,325
668107,325
668108,316
668109,325
668110,325
668111,428
668112,325
668113,325
668114,325
668115,325
668116,325
668117,316
668118,428
668119,325
668120,325
668121,325
668122,325
668123,325
668124,325
668125,316
668126,325
668127,325
668128,325
668129,325
668130,428
668131,325
668132,428
668133,325
668134,325
668135,325
668136,325
668137,428
668138,316
668139,325
668140,325
668141,325
668142,428
668143,325
668144,428
668145,325
668146,325
668147,325
668148,325
668149,325
668150,325
668151,325
668152,325
668153,325
668154,428
668155,325
668156,325
668157,325
668158,428
668159,325
668160,325
668161,325
668162,325
668163,325
668164,325
668165,316
668166,325
668167,325
668168,325
668169,316
668170,325
668171,316
668172,325
668173,325
668174,325
668175,325
668176,325
668177,325
668178,325
668179,325
668180,325
668181,325
668182,325
668183,428
668184,325
668185,325
668186,325
668187,428
668188,325
668189,325
668190,325
668191,325
668192,325
668193,428
668194,325
668195,428
668196,325
668197,325
668198,325
668199,325
668200,316
668201,325
668202,325
668203,428
668204,325
668205,325
668206,325
668207,325
668208,325
668209,325
668210,325
668211,316
668212,325
668213,325
668214,325
668215,428
668216,325
668217,325
668218,325
668219,316
668220,325
668221,325
668222,325
668223,325
668224,325
668225,325
668226,325
668227,325
668228,325
668229,428
668230,316
668231,325
668232,325
668233,325
668234,325
668235,325
668236,325
668237,428
668238,325
668239,325
668240,428
668241,325
668242,325
668243,325
668244,325
668245,325
668246,552
668247,325
668248,325
668249,325
668250,428
668251,325
668252,325
668253,325
668254,325
668255,325
668256,325
668257,325
668258,325
668259,325
668260,325
668261,325
668262,325
668263,325
668264,325
668265,325
668266,325
668267,325
668268,325
668269,325
668270,325
668271,428
668272,428
668273,325
668274,325
668275,325
668276,325
668277,325
668278,325
668279,325
668280,325
668281,325
668282,316
668283,325
668284,325
668285,325
668286,316
668287,325
668288,325
668289,428
668290,325
668291,325
668292,325
668293,325
668294,325
668295,325
668296,428
668297,325
668298,325
668299,325
668300,325
668301,325
668302,325
668303,325
668304,325
668305,325
668306,325
668307,325
668308,390
668309,325
668310,325
668311,325
668312,325
668313,325
668314,325
668315,325
668316,325
668317,325
668318,316
668319,428
668320,325
668321,316
668322,428
668323,325
668324,325
668325,325
668326,325
668327,325
668328,325
668329,428
668330,325
668331,325
668332,325
668333,325
668334,325
668335,325
668336,325
668337,325
668338,325
668339,325
668340,325
668341,325
668342,325
668343,325
668344,428
668345,325
668346,325
668347,325
668348,325
668349,325
668350,325
668351,316
668352,325
668353,325
668354,325
668355,325
668356,428
668357,316
668358,428
668359,325
668360,325
668361,325
668362,325
668363,547
668364,325
668365,325
668366,325
668367,325
668368,325
668369,325
668370,325
668371,325
668372,325
668373,325
668374,325
668375,325
668376,325
668377,325
668378,325
668379,325
668380,325
668381,325
668382,325
668383,325
668384,325
668385,325
668386,325
668387,325
668388,325
668389,325
668390,428
668391,325
668392,325
668393,325
668394,325
668395,325
668396,325
668397,325
668398,325
668399,428
668400,428
668401,325
668402,325
668403,325
668404,325
668405,325
668406,325
668407,325
668408,325
668409,325
668410,325
668411,316
668412,325
668413,325
668414,316
668415,325
668416,325
668417,316
668418,316
668419,428
668420,325
668421,428
668422,325
668423,325
668424,325
668425,325
668426,325
668427,325
668428,325
668429,325
668430,325
668431,428
668432,325
668433,325
668434,325
668435,325
668436,325
668437,428
668438,325
668439,428
668440,325
668441,325
668442,325
668443,325
668444,325
668445,325
668446,325
668447,325
668448,325
668449,325
668450,325
668451,428
668452,325
668453,316
668454,325
668455,325
668456,325
668457,325
668458,325
668459,325
668460,325
668461,428
668462,325
668463,316
668464,325
668465,316
668466,325
668467,325
668468,325
668469,325
668470,316
668471,325
668472,325
668473,428
668474,325
668475,316
668476,325
668477,325
668478,325
668479,325
668480,325
668481,325
668482,325
668483,325
668484,325
668485,325
668486,325
668487,325
668488,325
668489,325
668490,325
668491,325
668492,325
668493,325
668494,325
668495,325
668496,325
668497,325
668498,325
668499,428
668500,428
668501,325
668502,325
668503,325
668504,325
668505,428
668506,325
668507,325
668508,428
668509,325
668510,325
668511,325
668512,325
668513,553
668514,325
668515,325
668516,428
668517,325
668518,325
668519,325
668520,325
668521,325
668522,325
668523,325
668524,325
668525,325
668526,325
668527,325
668528,325
668529,428
668530,325
668531,428
668532,325
668533,325
668534,316
668535,390
668536,325
668537,325
668538,428
668539,325
668540,325
668541,325
668542,325
668543,325
668544,325
668545,325
668546,325
668547,325
668548,325
668549,325
668550,325
668551,325
668552,325
668553,325
668554,325
668555,325
668556,325
668557,325
668558,325
668559,316
668560,325
668561,325
668562,325
668563,325
668564,325
668565,428
668566,325
668567,325
668568,325
668569,325
